rank,organisation,stage,owner,lead_value_aud,score,crm_contact_count,crm_opportunity_count,contact_path,tags,next_action,blockers
1,Paul Ramsay Foundation (PFI),Proposal / LOI out,Ben,640000,89,4,2,Confirm PFI EOI contact before chase,cap-concessional-debt; geo-national; priority-shortlist; goods-capital-target; goods-strategic-target,Await EOI feedback; confirm AU$640K still stands and that they will open doors,Funder-led timing
2,Snow Foundation,Proposal / LOI out,Ben,200000,84,5,1,Confirm formal grants contact; Sally Grimsley-Ballard is known advisory relationship,cap-grant; geo-NT; priority-shortlist; goods-capital-target; goods-strategic-target,Send R4/R5 cover note; ask Snow to be the FIRST signature — decision in next fortnight,
3,Centrecorp Foundation,In conversation,Ben,106150,75,2,2,Confirm Randle Walker / Jodie for formal board ask,cap-grant; geo-central-australia; priority-shortlist; goods-capital-target; goods-strategic-target,Get next-round beds to a board decision at the ~26 June board; let it count as match-eligible,
4,Indigenous Business Australia (IBA),In conversation,Nic,5000000,72,0,0,Confirm IBA relationship contact; Nic owns path,cap-concessional-debt; geo-national; priority-shortlist; goods-capital-target; goods-strategic-target,Build the business plan to qualify; decide entity/Indigenous-ownership structure,Business plan/entity path not complete
5,SEFA,Contacted,Ben,300000,61,5,0,Confirm Hannah Ebeling; Joel Bird may be secondary,cap-concessional-debt; geo-national; priority-shortlist; goods-capital-target; goods-strategic-target,Email Hannah Ebeling to open the lender conversation; be honest the 3 gates are unmet,Three lender gates not met
6,QBE Foundation,In conversation,Ben,400000,56,1,1,Confirm Jay Boolkin / Lauren as formal Stage 2 contact,cap-grant; geo-national; goods-capital-target; goods-strategic-target,Complete PIN working session; submit Stage 2 package — by Sept 2026,
7,FRRR,In conversation,Ben,0,48,3,1,Steph Pearson email is in source,cap-grant; geo-remote-australia; goods-capital-target; goods-strategic-target,Contact Steph Pearson re a second ask coordinated with the QBE match process,
8,VFFF,In conversation,Ben,0,48,2,2,N. Chinner / E. Schwanke emails are in source,cap-grant; geo-remote-australia; goods-capital-target; goods-strategic-target,Explore a VFFF Round 2; confirm appetite via N. Chinner / E. Schwanke,
9,The Funding Network (TFN),In conversation,Ben,0,48,3,1,Confirm TFN alumni/network contact,cap-grant; geo-national; goods-capital-target; goods-strategic-target,"Return for follow-on or, more valuably, referral to downstream funders",
10,First Australians Capital,Qualified (passes knockouts),Nic,500000,30,0,0,Needs warm intro via IBA or SIH,cap-concessional-debt; geo-national; goods-capital-target; goods-strategic-target,Seek a warm intro via IBA or SIH; research specific deal terms,
11,Minderoo Foundation,Parked,Ben,200000,-9,1,2,Lucy Stronach email is in source; confirm mandate before ask,cap-grant; geo-national; knockout-unconfirmed; goods-capital-target; goods-strategic-target,Hold warm via Lucy Stronach until the June 2026 board; confirm geography/mandate fit before any ask,Knockout unconfirmed
12,Tim Fairfax Family Foundation,Parked,Ben,150000,-10,3,2,Confirm Katie Norman as advisory path,cap-grant; geo-QLD; knockout-unconfirmed; goods-capital-target; goods-strategic-target,Keep warm via Katie Norman; lead with Palm Island + youth jobs; confirm stage/ticket/instrument fit,Knockout unconfirmed
13,AMP Foundation (Spark),Parked,Ben,0,-13,1,1,Confirm AMP/Spark alumni pathway contact,cap-grant; geo-national; knockout-unconfirmed; goods-capital-target; goods-strategic-target,"Light-touch — confirm purpose, acquittal, and alumni pathway",Knockout unconfirmed
14,QBE Ventures,Declined,Ben,0,-103,0,0,Confirm Alex / Lighthouse-only path for 2027,cap-equity-NO; knockout-fail; goods-strategic-target,Re-evaluate after the legal-structure decision lands (2027); Lighthouse is the only 2026 door,Knockout failed