score,lanes,title,url,source,amountHint,dueDateHint,statusHint,geographyHint,entityHint,whyGoods,nextAction,crmSuggestion,riskFlags,foundVia
40,Government grants,Grants for Aboriginal Businesses | NT,https://www.aboriginalinvestment.org.au/grants,aboriginalinvestment.org.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: Aboriginal, grants","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Amount not found in sweep; Eligibility entity not found in sweep,search: Northern Territory grant recycled plastic manufacturing First Nations
40,Government grants,Indigenous.gov.au Connecting With First Nations Australians,https://www.indigenous.gov.au,indigenous.gov.au,Unknown,Unknown,Unknown,Unknown,Unknown,"Matched: First Nations, Indigenous","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.indigenous.gov.au/grants
40,Government grants,Manufacturing industry grants,https://www.business.qld.gov.au/industries/manufacturing-retail/manufacturing/grant-programs,business.qld.gov.au,Unknown,Unknown,Unknown,Unknown,Unknown,"Matched: manufacturing, grants","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.business.qld.gov.au/starting-business/advice-support/grants
40,Impact finance,Not for profit finance and social enterprise lending | Bank Australia,https://www.bankaust.com.au/impact-finance/not-for-profit-finance-and-for-purpose-lending,bankaust.com.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: social enterprise, impact, finance","Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,search: concessional loan social enterprise circular economy Australia | search: Australia social enterprise loan equipment finance
40,Impact finance,Our Impact,https://www.impactnorth.org.au/our-impact,impactnorth.org.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,Matched: impact,"Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: Australia impact finance social enterprise First Nations manufacturing loan
40,Impact finance,Our Story,https://sefa.com.au/our-story,sefa.com.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,Needs manual fit check.,"Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://sefa.com.au/access-impact-finance/ | search: Australia impact finance social enterprise First Nations manufacturing loan
40,Government grants,Regional Business Gateways Program,https://www.business.qld.gov.au/running-business/support-services/financial/grants/regional-business-gateways,business.qld.gov.au,Unknown,Unknown,Unknown,regional,Business/social enterprise,"Matched: regional, grants","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Amount not found in sweep,source link: https://www.business.qld.gov.au/starting-business/advice-support/grants
39,"Equipment, circular economy and clean energy",Where we invest - Clean Energy Finance Corporation,https://www.cefc.com.au/where-we-invest,cefc.com.au,$10 b,Unknown,Unknown,Unknown,Unknown,"Matched: clean energy, clean, energy","Check whether the opportunity funds advice, capex, energy upgrade, recycling infrastructure, or buyer procurement; map to the plant budget.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source: https://www.cefc.com.au/where-we-invest/ | source link: https://www.cefc.com.au/where-we-invest/
38,Philanthropy,"Artlands 2026: A National Gathering for Regional Creative Futures Regional Arts Australia (RAA) is the national organisation for rural, regional, and remote arts. It delivers the Commonwealth&rsquo;s Regional Arts...",https://www.tfff.org.au/artlands-2026-a-national-gathering-for-regional-creative-futures,tfff.org.au,Unknown,Unknown,Unknown,remote; regional; national,Unknown,"Matched: remote, regional","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.tfff.org.au/
38,Philanthropy,"CEO Update: A Shared Commitment to Change Andrew reflects on the power of collaboration in philanthropy, lessons from recent conversations on gender equity and First Nations-led change, and updates on the evolution of the Impact Fund.",https://communityfoundation.org.au/article/ceo-update-june-2026,communityfoundation.org.au,Unknown,Unknown,Unknown,Unknown,First Nations-led/control,"Matched: First Nations, philanthropy","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,source link: https://www.communityfoundation.org.au/
38,Impact finance,For enterprises,https://impactinvestingaustralia.com/looking-for-funding-or-investors,impactinvestingaustralia.com,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,Matched: impact,"Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep; Eligibility entity not found in sweep,source link: https://impactinvestingaustralia.com/ | search: foundation impact investment social enterprise Australia First Nations
38,Philanthropy,Indigenous Business Council,https://ibcouncil.org.au,ibcouncil.org.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,Matched: Indigenous,"Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep; Eligibility entity not found in sweep,search: Australian philanthropy Indigenous enterprise circular economy manufacturing
38,Philanthropy,Peer Network Philanthropic advocacy as an ally to the social enterprise sector,https://philanthropy.org.au/whats-on/?event_type=43,philanthropy.org.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: social enterprise, philanthropy","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep,source link: https://www.philanthropy.org.au/
38,Philanthropy,Philanthropy and Indigenous Initiatives: Insights From Australian ...,https://onlinelibrary.wiley.com/doi/full/10.1002/ajs4.70003,onlinelibrary.wiley.com,Unknown,Unknown,Unknown,Unknown,Unknown,"Matched: Indigenous, philanthropy","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: Australian philanthropy Indigenous enterprise circular economy manufacturing
38,Philanthropy,Torres Strait Kaziw Meta Becomes First Certified Indigenous Boarding Facility in Australia Torres Strait Kaziw Meta (Kaziw Meta) is a boarding facility on Thursday Island for students in Years 7-12. It is...,https://www.tfff.org.au/torres-strait-kaziw-meta,tfff.org.au,Unknown,Unknown,Unknown,Unknown,Unknown,"Matched: Torres Strait, Indigenous","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.tfff.org.au/
37,Government grants,Environment and business,https://www.business.qld.gov.au/running-business/environment,business.qld.gov.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,Matched: environment,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Amount not found in sweep,source link: https://www.business.qld.gov.au/starting-business/advice-support/grants
37,Government grants,Environmental codes of practice for industry,https://www.business.qld.gov.au/industries/industry-codes,business.qld.gov.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: environment,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.business.qld.gov.au/starting-business/advice-support/grants
37,Impact finance,First Nations We’re working towards a reconciled Australia where First Nations peoples’ rights and opportunities are guaranteed.,https://www.socialventures.org.au/expert_area/first-nations,socialventures.org.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: First Nations,"Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.socialventures.com.au/
37,Government grants,GrantConnect Homepage: GrantConnect,https://www.grants.gov.au,grants.gov.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: grants,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: site:grants.gov.au Aboriginal remote community manufacturing grant | search: recoverable grant social enterprise Indigenous Australia
37,Impact finance,Home | Impact Investing Australia,https://impactinvestingaustralia.com,impactinvestingaustralia.com,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: impact investment, impact","Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Amount not found in sweep; Eligibility entity not found in sweep,source: https://impactinvestingaustralia.com/ | source link: https://impactinvestingaustralia.com/
37,Government grants,Housing and accommodation,https://www.business.qld.gov.au/industries/housing-accommodation,business.qld.gov.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: housing,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.business.qld.gov.au/starting-business/advice-support/grants
37,Government grants,Indigenous businesses,https://business.gov.au/grants-and-support/indigenous-businesses,business.gov.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,"Matched: Indigenous, grants","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Amount not found in sweep,source link: https://business.gov.au/grants-and-programs
37,Government grants,Manufacturing and retail,https://www.business.qld.gov.au/industries/manufacturing-retail,business.qld.gov.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: manufacturing,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.business.qld.gov.au/starting-business/advice-support/grants
37,Government grants,Queensland Government Grants Finder,https://www.grants.services.qld.gov.au,grants.services.qld.gov.au,Unknown,Unknown,Unknown,Queensland,Unknown,"Matched: government, grants","Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: Queensland grant social enterprise equipment First Nations manufacturing
37,Government grants,Workplace health and safety,https://www.business.qld.gov.au/running-business/whs,business.qld.gov.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: health,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.business.qld.gov.au/starting-business/advice-support/grants
36,Philanthropy,Annual Report Highlights: 2024-2025 FY25 saw the TFFF distribute $8.096 million to 43 for-purpose organisations through values-based philanthropy. This included the commencement of three nine-year...,https://www.tfff.org.au/annual-report-highlights-2024-2025,tfff.org.au,$8.096 m,Unknown,Unknown,Unknown,Unknown,Matched: philanthropy,"Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep,source link: https://www.tfff.org.au/
36,Philanthropy,"Closing the Gap: Our Educational Outcomes Work, Two Years On A closer look at our educational outcomes work, focusing on the building blocks of effective teaching. We explore what the data shows and how philanthropy can respond. Read more here",https://www.snowfoundation.org.au/news/closing-the-gap-our-educational-outcomes-work-two-years-on,snowfoundation.org.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: philanthropy,"Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.snowfoundation.org.au/
36,Philanthropy,Home - First Australians Capital,https://firstaustralianscapital.org,firstaustralianscapital.org,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,Needs manual fit check.,"Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: foundation impact investment social enterprise Australia First Nations
36,Philanthropy,"The Long View: Chris Miller on philanthropy and lasting impact For more than two decades, Chris Miller has been a part of the ACF giving community. We sat down with him to discuss his philanthropic philosophy grounded in relationships, trust, and long-term commitment.",https://communityfoundation.org.au/article/chris-miller-philanthropy-and-lasting-impact,communityfoundation.org.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: philanthropy,"Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.communityfoundation.org.au/
35,Philanthropy,Conference Philanthropy Australia Conference 2026,https://philanthropy.org.au/whats-on/?event_type=40,philanthropy.org.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: philanthropy,"Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.philanthropy.org.au/
35,Philanthropy,Country Centred Economy | GoodHuman,https://www.goodhuman.com.au/cc-ce,goodhuman.com.au,Unknown,Unknown,Unknown,Unknown,Unknown,Needs manual fit check.,"Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,search: Australian philanthropy Indigenous enterprise circular economy manufacturing
35,Philanthropy,Home - Philanthropy Australia,https://www.philanthropy.org.au,philanthropy.org.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: philanthropy,"Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source: https://www.philanthropy.org.au/ | source link: https://www.philanthropy.org.au/
35,Philanthropy,Home | The Ian Potter Foundation,https://www.ianpotter.org.au,ianpotter.org.au,Unknown,Unknown,Unknown,Unknown,Unknown,"Matched: health, environment","Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source: https://www.ianpotter.org.au/
35,Philanthropy,News and stories Australia’s giving paradox: why a wealthy nation underperforms on generosity,https://www.philanthropy.org.au/news-and-stories?news_type=96,philanthropy.org.au,Unknown,Unknown,Unknown,Queensland,Unknown,Matched: philanthropy,"Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.philanthropy.org.au/
35,Philanthropy,Philanthropy Australia,https://www.snowfoundation.org.au/partners/philanthropy-australia,snowfoundation.org.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: philanthropy,"Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.snowfoundation.org.au/
35,Philanthropy,Read more,https://www.philanthropy.org.au/whats-on/philanthropy-australia-conference-2026,philanthropy.org.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: philanthropy,"Classify as relationship-led or open application, then create a one-page tailored fit note and decide the warm intro path.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.philanthropy.org.au/
35,Impact finance,SELF loan offers working capital and unexpected clarity for Good Cycles.,https://whiteboxenterprises.com.au/self-loan-offers-working-capital-and-unexpected-clarity-for-good-cycles,whiteboxenterprises.com.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: working capital,"Build a repayable-finance memo: use of funds, buyer pipeline, gross margin, repayment pathway, security, risks, and catalytic co-capital.","Notion Funder Pipeline + GHL Goods Supporter Journey, relationship-led",Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://whiteboxenterprises.com.au/self/
35,Government grants,Selling or leaving your business,https://www.business.qld.gov.au/running-business/selling-closing-leaving,business.qld.gov.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,Needs manual fit check.,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Amount not found in sweep,source link: https://www.business.qld.gov.au/starting-business/advice-support/grants
34,Government grants,About this site,https://www.indigenous.gov.au/about-site,indigenous.gov.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: Indigenous,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.indigenous.gov.au/grants
34,Government grants,Accessibility,https://www.indigenous.gov.au/accessibility,indigenous.gov.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: Indigenous,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.indigenous.gov.au/grants
34,Government grants,Acknowledgement of Country,https://www.indigenous.gov.au/acknowledgement-country,indigenous.gov.au,Unknown,Unknown,Unknown,Unknown,Unknown,Matched: Indigenous,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.indigenous.gov.au/grants
34,Government grants,Advance Queensland grants,https://www.business.qld.gov.au/industries/science-it-creative/science/advance-qld-initiative,business.qld.gov.au,Unknown,Unknown,Unknown,Queensland,Unknown,Matched: grants,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Eligibility entity not found in sweep; Amount not found in sweep,source link: https://www.business.qld.gov.au/starting-business/advice-support/grants
34,Government grants,Business Basics Grants Program,https://www.business.qld.gov.au/running-business/support-services/financial/grants/business-basics-grant,business.qld.gov.au,Unknown,Unknown,Unknown,Unknown,Business/social enterprise,Matched: grants,"Verify eligibility, close date, entity requirements, co-contribution, and whether Goods applies directly or through a partner/DGR auspice.",Notion Funder Pipeline + GHL Grants pipeline after manual eligibility check,Close date not found in sweep; Amount not found in sweep,source link: https://www.business.qld.gov.au/starting-business/advice-support/grants
